   T_sec        Uz0001        Uz0002        Uz0003        Uz0004        Uz0005        Uz0006        Uz0007        Uz0008        Uz0009        Uz0010        Uz0011        Uz0012        Uz0013        Uz0014        Uz0015        Uz0016        Uz0017        Uz0018        Uz0019        Uz0020        Uz0021        Uz0022        Uz0023        Uz0024        Uz0025        Uz0026        Uz0027        Uz0028        Uz0029        Uz0030        Uz0031        Uz0032        Uz0033        Uz0034        Uz0035        Uz0036        Uz0037        Uz0038        Uz0039        Uz0040        Uz0041        Uz0042        Uz0043        Uz0044        Uz0045        Uz0046        Uz0047        Uz0048        Uz0049        Uz0050        Uz0051        Uz0052        Uz0053        Uz0054        Uz0055        Uz0056        Uz0057        Uz0058        Uz0059        Uz0060        Uz0061        Uz0062        Uz0063        Uz0064        Uz0065        Uz0066        Uz0067        Uz0068        Uz0069        Uz0070        Uz0071        Uz0072        Uz0073        Uz0074        Uz0075        Uz0076        Uz0077        Uz0078        Uz0079        Uz0080        Uz0081        Uz0082        Uz0083        Uz0084        Uz0085        Uz0086        Uz0087        Uz0088        Uz0089        Uz0090        Uz0091        Uz0092        Uz0093        Uz0094        Uz0095        Uz0096        Uz0097        Uz0098        Uz0099        Uz0100    
    -0.05000 -0.3045E-11  0.3234E-11 -0.1758E-11 -0.1585E-11  0.2472E-11 -0.1016E-11 -0.1781E-11  0.1550E-11  0.1163E-11 -0.1743E-11 -0.6024E-12  0.1391E-11  0.6090E-12 -0.1144E-11 -0.6891E-12  0.7169E-12  0.9634E-12 -0.3611E-12 -0.9651E-12 -0.2329E-12  0.7189E-12  0.6722E-12 -0.2704E-12 -0.7057E-12 -0.4555E-12  0.5270E-12  0.5733E-12  0.1690E-12 -0.3651E-12 -0.5366E-12 -0.2009E-12  0.3407E-12  0.5300E-12  0.9894E-13 -0.1493E-12 -0.4709E-12 -0.2271E-12  0.5192E-13  0.4080E-12  0.2158E-12  0.1431E-12 -0.2506E-12 -0.3064E-12 -0.2013E-12  0.9431E-13  0.1632E-12  0.2919E-12  0.1026E-12 -0.9176E-13 -0.2283E-12 -0.1574E-12 -0.1139E-12  0.1081E-12  0.1854E-12  0.1597E-12  0.4426E-13 -0.3847E-13 -0.2047E-12 -0.1199E-12 -0.8455E-13  0.4697E-13  0.9875E-13  0.1710E-12  0.3131E-13  0.1616E-13 -0.1105E-12 -0.1153E-12 -0.1191E-12 -0.1372E-14  0.1331E-13  0.1148E-12  0.8149E-13  0.5607E-13 -0.2537E-13 -0.5334E-13 -0.1158E-12 -0.6300E-13 -0.3116E-13  0.2264E-13  0.6664E-13  0.7865E-13  0.3237E-13  0.1655E-14 -0.3809E-13 -0.8059E-13 -0.5492E-13 -0.3736E-13 -0.7544E-14  0.2745E-13  0.6027E-13  0.2591E-13  0.3318E-13 -0.1367E-13 -0.4539E-13 -0.6236E-13 -0.3633E-13 -0.4524E-13  0.1359E-13  0.3188E-13  0.3476E-13
    -0.04976  0.3059E-11 -0.3253E-11  0.1755E-11  0.1588E-11 -0.2494E-11  0.1007E-11  0.1778E-11 -0.1568E-11 -0.1184E-11  0.1735E-11  0.5922E-12 -0.1411E-11 -0.6284E-12  0.1132E-11  0.6789E-12 -0.7331E-12 -0.9829E-12  0.3468E-12  0.9555E-12  0.2218E-12 -0.7340E-12 -0.6881E-12  0.2587E-12  0.6977E-12  0.4481E-12 -0.5377E-12 -0.5840E-12 -0.1778E-12  0.3600E-12  0.5343E-12  0.1987E-12 -0.3446E-12 -0.5348E-12 -0.1023E-12  0.1469E-12  0.4706E-12  0.2264E-12 -0.5328E-13 -0.4107E-12 -0.2176E-12 -0.1444E-12  0.2516E-12  0.3085E-12  0.2038E-12 -0.9254E-13 -0.1616E-12 -0.2913E-12 -0.1014E-12  0.9322E-13  0.2301E-12  0.1588E-12  0.1150E-12 -0.1085E-12 -0.1866E-12 -0.1616E-12 -0.4637E-13  0.3605E-13  0.2024E-12  0.1167E-12  0.8078E-13 -0.5202E-13 -0.1049E-12 -0.1784E-12 -0.3925E-13 -0.2510E-13  0.1013E-12  0.1056E-12  0.1091E-12 -0.9069E-14 -0.2359E-13 -0.1252E-12 -0.9135E-13 -0.6553E-13  0.1628E-13  0.4433E-13  0.1068E-12  0.5340E-13  0.2100E-13 -0.3335E-13 -0.7794E-13 -0.9021E-13 -0.4403E-13 -0.1329E-13  0.2648E-13  0.6913E-13  0.4324E-13  0.2554E-13 -0.4706E-14 -0.4020E-13 -0.7364E-13 -0.3971E-13 -0.4761E-13 -0.1032E-14  0.3048E-13  0.4750E-13  0.2178E-13  0.3157E-13 -0.2617E-13 -0.4271E-13 -0.4343E-13
    -0.04951 -0.3081E-11  0.3260E-11 -0.1768E-11 -0.1609E-11  0.2493E-11 -0.1021E-11 -0.1802E-11  0.1558E-11  0.1175E-11 -0.1758E-11 -0.6135E-12  0.1399E-11  0.6156E-12 -0.1153E-11 -0.7003E-12  0.7182E-12  0.9715E-12 -0.3630E-12 -0.9756E-12 -0.2394E-12  0.7218E-12  0.6781E-12 -0.2716E-12 -0.7128E-12 -0.4623E-12  0.5285E-12  0.5766E-12  0.1705E-12 -0.3689E-12 -0.5440E-12 -0.2067E-12  0.3399E-12  0.5323E-12  0.9939E-13 -0.1500E-12 -0.4748E-12 -0.2293E-12  0.5205E-13  0.4117E-12  0.2190E-12  0.1462E-12 -0.2512E-12 -0.3083E-12 -0.2030E-12  0.9473E-13  0.1647E-12  0.2957E-12  0.1054E-12 -0.8964E-13 -0.2272E-12 -0.1559E-12 -0.1122E-12  0.1122E-12  0.1905E-12  0.1657E-12  0.4996E-13 -0.3292E-13 -0.2003E-12 -0.1147E-12 -0.7928E-13  0.5357E-13  0.1061E-12  0.1794E-12  0.3900E-13  0.2400E-13 -0.1040E-12 -0.1095E-12 -0.1142E-12  0.3520E-14  0.1743E-13  0.1191E-12  0.8505E-13  0.5915E-13 -0.2290E-13 -0.5120E-13 -0.1141E-12 -0.6099E-13 -0.2897E-13  0.2496E-13  0.6921E-13  0.8088E-13  0.3404E-13  0.2571E-14 -0.3792E-13 -0.8140E-13 -0.5594E-13 -0.3878E-13 -0.8809E-14  0.2644E-13  0.5971E-13  0.2532E-13  0.3293E-13 -0.1431E-13 -0.4644E-13 -0.6408E-13 -0.3885E-13 -0.4913E-13  0.8616E-14  0.2535E-13  0.2674E-13
    -0.04927  0.3091E-11 -0.3283E-11  0.1761E-11  0.1607E-11 -0.2520E-11  0.1007E-11  0.1794E-11 -0.1580E-11 -0.1200E-11  0.1746E-11  0.5988E-12 -0.1424E-11 -0.6397E-12  0.1137E-11  0.6855E-12 -0.7393E-12 -0.9960E-12  0.3439E-12  0.9613E-12  0.2237E-12 -0.7413E-12 -0.6980E-12  0.2563E-12  0.7014E-12  0.4516E-12 -0.5427E-12 -0.5911E-12 -0.1838E-12  0.3586E-12  0.5360E-12  0.1985E-12 -0.3496E-12 -0.5421E-12 -0.1067E-12  0.1451E-12  0.4733E-12  0.2284E-12 -0.5314E-13 -0.4139E-12 -0.2204E-12 -0.1473E-12  0.2522E-12  0.3100E-12  0.2049E-12 -0.9364E-13 -0.1637E-12 -0.2954E-12 -0.1040E-12  0.9218E-13  0.2309E-12  0.1599E-12  0.1166E-12 -0.1085E-12 -0.1870E-12 -0.1623E-12 -0.4612E-13  0.3719E-13  0.2055E-12  0.1198E-12  0.8445E-13 -0.4898E-13 -0.1019E-12 -0.1759E-12 -0.3533E-13 -0.2077E-13  0.1074E-12  0.1125E-12  0.1167E-12 -0.1924E-14 -0.1652E-13 -0.1193E-12 -0.8568E-13 -0.6005E-13  0.2214E-13  0.5074E-13  0.1141E-12  0.6105E-13  0.2889E-13 -0.2552E-13 -0.7069E-13 -0.8329E-13 -0.3748E-13 -0.7048E-14  0.3239E-13  0.7496E-13  0.4828E-13  0.3009E-13 -0.1096E-14 -0.3751E-13 -0.7197E-13 -0.3845E-13 -0.4707E-13 -0.4430E-15  0.3104E-13  0.4806E-13  0.2212E-13  0.3175E-13 -0.2696E-13 -0.4450E-13 -0.4661E-13
    -0.04902 -0.3116E-11  0.3288E-11 -0.1777E-11 -0.1632E-11  0.2516E-11 -0.1025E-11 -0.1822E-11  0.1567E-11  0.1188E-11 -0.1773E-11 -0.6243E-12  0.1407E-11  0.6225E-12 -0.1163E-11 -0.7117E-12  0.7193E-12  0.9793E-12 -0.3656E-12 -0.9870E-12 -0.2469E-12  0.7236E-12  0.6825E-12 -0.2746E-12 -0.7220E-12 -0.4713E-12  0.5278E-12  0.5779E-12  0.1703E-12 -0.3741E-12 -0.5525E-12 -0.2133E-12  0.3384E-12  0.5335E-12  0.9826E-13 -0.1531E-12 -0.4819E-12 -0.2352E-12  0.4835E-13  0.4117E-12  0.2187E-12  0.1463E-12 -0.2546E-12 -0.3126E-12 -0.2072E-12  0.9257E-13  0.1632E-12  0.2962E-12  0.1045E-12 -0.9183E-13 -0.2307E-12 -0.1592E-12 -0.1154E-12  0.1112E-12  0.1904E-12  0.1662E-12  0.4991E-13 -0.3354E-13 -0.2026E-12 -0.1165E-12 -0.8118E-13  0.5287E-13  0.1061E-12  0.1806E-12  0.3959E-13  0.2510E-13 -0.1037E-12 -0.1090E-12 -0.1135E-12  0.5359E-14  0.1977E-13  0.1228E-12  0.8907E-13  0.6343E-13 -0.1876E-13 -0.4713E-13 -0.1102E-12 -0.5637E-13 -0.2345E-13  0.3160E-13  0.7731E-13  0.8989E-13  0.4367E-13  0.1245E-13 -0.2798E-13 -0.7184E-13 -0.4620E-13 -0.2927E-13  0.7990E-15  0.3602E-13  0.6930E-13  0.3429E-13  0.4162E-13 -0.6601E-14 -0.3956E-13 -0.5802E-13 -0.3336E-13 -0.4432E-13  0.1335E-13  0.2967E-13  0.3051E-13
    -0.04878  0.3127E-11 -0.3310E-11  0.1771E-11  0.1631E-11 -0.2542E-11  0.1011E-11  0.1814E-11 -0.1590E-11 -0.1214E-11  0.1760E-11  0.6083E-12 -0.1434E-11 -0.6486E-12  0.1145E-11  0.6945E-12 -0.7433E-12 -0.1007E-11  0.3431E-12  0.9691E-12  0.2273E-12 -0.7475E-12 -0.7073E-12  0.2540E-12  0.7049E-12  0.4546E-12 -0.5484E-12 -0.5989E-12 -0.1898E-12  0.3578E-12  0.5388E-12  0.1997E-12 -0.3536E-12 -0.5492E-12 -0.1120E-12  0.1411E-12  0.4728E-12  0.2263E-12 -0.5732E-13 -0.4215E-12 -0.2273E-12 -0.1542E-12  0.2492E-12  0.3082E-12  0.2031E-12 -0.9743E-13 -0.1682E-12 -0.3020E-12 -0.1092E-12  0.8816E-13  0.2283E-12  0.1574E-12  0.1143E-12 -0.1126E-12 -0.1916E-12 -0.1670E-12 -0.4997E-13  0.3409E-13  0.2042E-12  0.1181E-12  0.8302E-13 -0.5137E-13 -0.1047E-12 -0.1794E-12 -0.3766E-13 -0.2306E-13  0.1064E-12  0.1119E-12  0.1166E-12 -0.2626E-14 -0.1706E-13 -0.1205E-12 -0.8660E-13 -0.6074E-13  0.2192E-13  0.5078E-13  0.1145E-12  0.6118E-13  0.2893E-13 -0.2532E-13 -0.7026E-13 -0.8187E-13 -0.3478E-13 -0.2880E-14  0.3791E-13  0.8198E-13  0.5594E-13  0.3861E-13  0.7812E-14 -0.2817E-13 -0.6233E-13 -0.2800E-13 -0.3631E-13  0.1114E-13  0.4310E-13  0.6041E-13  0.3438E-13  0.4398E-13 -0.1541E-13 -0.3334E-13 -0.3584E-13
    -0.04853 -0.3149E-11  0.3319E-11 -0.1783E-11 -0.1652E-11  0.2543E-11 -0.1025E-11 -0.1838E-11  0.1579E-11  0.1205E-11 -0.1784E-11 -0.6313E-12  0.1420E-11  0.6337E-12 -0.1168E-11 -0.7190E-12  0.7248E-12  0.9918E-12 -0.3638E-12 -0.9943E-12 -0.2505E-12  0.7293E-12  0.6907E-12 -0.2740E-12 -0.7277E-12 -0.4767E-12  0.5311E-12  0.5835E-12  0.1746E-12 -0.3746E-12 -0.5565E-12 -0.2158E-12  0.3405E-12  0.5378E-12  0.9965E-13 -0.1541E-12 -0.4875E-12 -0.2402E-12  0.4482E-13  0.4112E-12  0.2173E-12  0.1447E-12 -0.2599E-12 -0.3190E-12 -0.2134E-12  0.8849E-13  0.1599E-12  0.2949E-12  0.1016E-12 -0.9622E-13 -0.2369E-12 -0.1658E-12 -0.1225E-12  0.1058E-12  0.1855E-12  0.1616E-12  0.4476E-13 -0.3917E-13 -0.2098E-12 -0.1231E-12 -0.8787E-13  0.4735E-13  0.1013E-12  0.1768E-12  0.3504E-13  0.2093E-13 -0.1087E-12 -0.1139E-12 -0.1182E-12  0.1866E-14  0.1683E-13  0.1212E-12  0.8765E-13  0.6206E-13 -0.2058E-13 -0.4942E-13 -0.1132E-12 -0.5949E-13 -0.2675E-13  0.2822E-13  0.7425E-13  0.8694E-13  0.4101E-13  0.1023E-13 -0.2953E-13 -0.7293E-13 -0.4611E-13 -0.2841E-13  0.2803E-14  0.3907E-13  0.7353E-13  0.3918E-13  0.4765E-13 -0.3086E-16 -0.3221E-13 -0.4987E-13 -0.2424E-13 -0.3450E-13  0.2433E-13  0.4138E-13  0.4286E-13
    -0.04829  0.3164E-11 -0.3337E-11  0.1781E-11  0.1656E-11 -0.2564E-11  0.1016E-11  0.1836E-11 -0.1597E-11 -0.1226E-11  0.1776E-11  0.6204E-12 -0.1442E-11 -0.6550E-12  0.1155E-11  0.7065E-12 -0.7443E-12 -0.1015E-11  0.3454E-12  0.9802E-12  0.2345E-12 -0.7500E-12 -0.7125E-12  0.2564E-12  0.7138E-12  0.4635E-12 -0.5479E-12 -0.6004E-12 -0.1899E-12  0.3626E-12  0.5469E-12  0.2057E-12 -0.3529E-12 -0.5514E-12 -0.1118E-12  0.1429E-12  0.4785E-12  0.2306E-12 -0.5549E-13 -0.4236E-12 -0.2294E-12 -0.1567E-12  0.2501E-12  0.3100E-12  0.2047E-12 -0.9785E-13 -0.1694E-12 -0.3053E-12 -0.1112E-12  0.8717E-13  0.2285E-12  0.1571E-12  0.1136E-12 -0.1159E-12 -0.1961E-12 -0.1725E-12 -0.5532E-13  0.2902E-13  0.2006E-12  0.1139E-12  0.7883E-13 -0.5692E-13 -0.1112E-12 -0.1872E-12 -0.4497E-13 -0.3081E-13  0.9974E-13  0.1054E-12  0.1104E-12 -0.9448E-14 -0.2386E-13 -0.1281E-12 -0.9403E-13 -0.6791E-13  0.1545E-13  0.4496E-13  0.1095E-12  0.5626E-13  0.2395E-13 -0.3062E-13 -0.7634E-13 -0.8833E-13 -0.4145E-13 -0.9402E-14  0.3184E-13  0.7697E-13  0.5155E-13  0.3528E-13  0.5094E-14 -0.3035E-13 -0.6422E-13 -0.2915E-13 -0.3718E-13  0.1120E-13  0.4394E-13  0.6210E-13  0.3678E-13  0.4738E-13 -0.1150E-13 -0.2855E-13 -0.3015E-13
    -0.04805 -0.3183E-11  0.3349E-11 -0.1790E-11 -0.1674E-11  0.2569E-11 -0.1027E-11 -0.1856E-11  0.1591E-11  0.1221E-11 -0.1796E-11 -0.6387E-12  0.1433E-11  0.6449E-12 -0.1174E-11 -0.7267E-12  0.7301E-12  0.1004E-11 -0.3620E-12 -0.1001E-11 -0.2531E-12  0.7368E-12  0.7016E-12 -0.2702E-12 -0.7298E-12 -0.4784E-12  0.5382E-12  0.5925E-12  0.1819E-12 -0.3727E-12 -0.5583E-12 -0.2160E-12  0.3455E-12  0.5455E-12  0.1049E-12 -0.1508E-12 -0.4885E-12 -0.2402E-12  0.4673E-13  0.4164E-12  0.2217E-12  0.1490E-12 -0.2597E-12 -0.3200E-12 -0.2144E-12  0.8958E-13  0.1620E-12  0.2992E-12  0.1046E-12 -0.9435E-13 -0.2365E-12 -0.1654E-12 -0.1223E-12  0.1078E-12  0.1880E-12  0.1643E-12  0.4648E-13 -0.3833E-13 -0.2109E-12 -0.1240E-12 -0.8911E-13  0.4704E-13  0.1013E-12  0.1775E-12  0.3447E-13  0.2002E-13 -0.1115E-12 -0.1176E-12 -0.1231E-12 -0.3165E-14  0.1102E-13  0.1156E-12  0.8130E-13  0.5506E-13 -0.2851E-13 -0.5812E-13 -0.1228E-12 -0.6918E-13 -0.3642E-13  0.1871E-13  0.6519E-13  0.7779E-13  0.3156E-13  0.2746E-15 -0.3993E-13 -0.8386E-13 -0.5661E-13 -0.3850E-13 -0.6187E-14  0.3127E-13  0.6704E-13  0.3336E-13  0.4278E-13 -0.4694E-14 -0.3652E-13 -0.5378E-13 -0.2747E-13 -0.3719E-13  0.2281E-13  0.4073E-13  0.4309E-13
    -0.04780  0.3200E-11 -0.3367E-11  0.1790E-11  0.1679E-11 -0.2589E-11  0.1019E-11  0.1855E-11 -0.1607E-11 -0.1240E-11  0.1791E-11  0.6306E-12 -0.1452E-11 -0.6635E-12  0.1163E-11  0.7165E-12 -0.7474E-12 -0.1025E-11  0.3463E-12  0.9907E-12  0.2415E-12 -0.7521E-12 -0.7171E-12  0.2597E-12  0.7236E-12  0.4731E-12 -0.5471E-12 -0.6018E-12 -0.1898E-12  0.3679E-12  0.5557E-12  0.2129E-12 -0.3508E-12 -0.5520E-12 -0.1100E-12  0.1466E-12  0.4863E-12  0.2371E-12 -0.5110E-13 -0.4229E-12 -0.2283E-12 -0.1560E-12  0.2542E-12  0.3147E-12  0.2089E-12 -0.9629E-13 -0.1691E-12 -0.3073E-12 -0.1119E-12  0.8781E-13  0.2308E-12  0.1597E-12  0.1166E-12 -0.1147E-12 -0.1954E-12 -0.1721E-12 -0.5411E-13  0.3090E-13  0.2042E-12  0.1172E-12  0.8259E-13 -0.5386E-13 -0.1082E-12 -0.1847E-12 -0.4106E-13 -0.2681E-13  0.1050E-12  0.1107E-12  0.1156E-12 -0.5530E-14 -0.2064E-13 -0.1266E-12 -0.9323E-13 -0.6793E-13  0.1487E-13  0.4366E-13  0.1076E-12  0.5292E-13  0.1921E-13 -0.3676E-13 -0.8405E-13 -0.9702E-13 -0.5091E-13 -0.1947E-13  0.2111E-13  0.6586E-13  0.3940E-13  0.2259E-13 -0.8306E-14 -0.4408E-13 -0.7809E-13 -0.4239E-13 -0.5008E-13 -0.6734E-15  0.3288E-13  0.5183E-13  0.2710E-13  0.3854E-13 -0.1999E-13 -0.3625E-13 -0.3695E-13
